,course_title,course_unit,equivalent_courses,instructors,notes
CMST 28801,Digital Imaging,100,"ARTV 32500,CMST 38801,ARTV 22500",J. Salavon,
CMST 28810,Advanced Study Theater: Games & Performance,100,"ENGL 21118,TAPS 28810","P. Jagoda, H. Coleman",Independent Study for those with advanced experience in theater. These courses are designed for students wishing to pursue self-motivated study in a specific field of theater/performance. Intensive study and reading is expected. Faculty advisor required. Completed forms to be submitted to the TAPS office by the end of first week of quarter of enrollment can be found at tapscourses.uchicago.edu
CMST 28903,Video,100,"ARTV 23801,ARTV 33801",S. Wolniak,
CMST 29700,Reading and Research Course,100,,,Students are required to submit the College Reading and Research Form. This course may be counted toward distribution requirements for the major.
CMST 29800,Senior Colloquium,100,,J. Stewart,
CMST 29900,BA Research Paper,000,,,Students are required to submit the College Reading and Research Form. This course may not be counted toward requirements for the major or as a free-elective credit.
PLSC 20721,Violence and Development in Africa,100,,I. Hock,
PLSC 20725,On Condoned Violence: from Punishment to Pleasure,100,,Y. Blajer de la Garza,
PLSC 21006,Political Economy of Inequality,100,,Y. Lee,
PLSC 21812,Global Ethics,100,HMRT 21812,C. Cordelli,
PLSC 22110,Black Politics in the U.S,100,,M. Dawson,
PLSC 22202,Philosophies of Environmentalism and Sustainability,100,"HMRT 22201,MAPH 32209,ENST 22209,GNSE 22204,PHIL 22209",B. Schultz,Course is open to undergraduates and MAPH students.
PLSC 22210,Roman Philosophers on the Fear of Death,100,"CLCV 24716,CLAS 34716,LAWS 96305,RETH 30710,PHIL 30710,PLSC 32210,PHIL 20710",M. Nussbaum,
PLSC 22402,Florentine Political Thought,100,"PLSC 52402,LLSO 22402",J. McCormick,
PLSC 22600,Introduction to Political Philosophy,100,"GNSE 21601,LLSO 22612,PHIL 21600",B. Laurence,Students should register via discussion section.
PLSC 22710,Electoral Politics in America,100,LLSO 22710,M. Hansen,
PLSC 22913,The Practice of Social Science Research,100,,P. Conley,
PLSC 23010,Liberalism and Empire,100,"HMRT 23010,LLSO 25903,PLSC 33010",J. Pitts,
PLSC 23415,Emergence of Capitalism,100,"LLSO 23415,PLSC 32815,HIST 23304,HIST 33304",W. Sewell,
PLSC 23501,International Political Economy,100,,R. Gulotty,
PLSC 24202,Politics in Chicago,100,,M. Hansen,
PLSC 24302,"Philosophy, Rhetoric, and Politics",100,PLSC 34302,M. Landauer,
PLSC 24401,Herodotus and Thucydides: History and Politics,100,"PLSC 34401,FNDL 24403",M. Landauer,
PLSC 24402,Greek Political Thought,100,PLSC 34402,"D. Kasimis, M. Landauer",
PLSC 24410,Authoritarian Regimes,100,PLSC 34410,D. Slater,
PLSC 24500,Hannah Arendt's The Human Condition,100,,P.Markell,
PLSC 24805,Legitimacy and Political Institutions,100,LLSO 24805,J. Patty,
PLSC 24902,Democratic Accountability and Transparency,100,,M. Landauer,
PLSC 25205,Racial Justice and Injustice,100,PLSC 35205,J. Wilson,
PLSC 25215,The American Presidency,100,"LLSO 25215,PLSC 35215",W. Howell,
PLSC 25610,"Authority, Obligation, and Dissent",100,LLSO 25610,S. Muthu,
PLSC 26703,Political Parties in the United States,100,LLSO 26703,R. Bloch Rubin,
PLSC 26800,"Insurgency, Terrorism, and Civil War",100,LLSO 26804,P. Staniland,
PLSC 27001,The Problem of World Government,100,,P. Poast,
PLSC 27301,Weimar Political Theology: Schmitt and Strauss,100,PLSC 37301,J. McCormick,
PLSC 27500,Organizational Decision Making,100,"PLSC 37500,SOCI 30301",J. Padgett,
PLSC 27703,"Exemplary Leaders: Livy, Plutarch, and Machiavelli",100,"PLSC 47703,CLCV 27716,CLAS 37716,FNDL 27716","J. McCormick, M. Lowrie",
PLSC 27705,Machiavelli's The Prince,100,PLSC 47705,J. McCormick,
PLSC 27815,Politics and Public Policy in China,100,PLSC 37815,D. Yang,
PLSC 28005,Intro to Social Choice and Electoral Systems,100,,E. Penn,
PLSC 28006,Intro to Social Choice and Electoral Systems,100,,E. Penn,
PLSC 28505,Race and the Problem of American Citizenship,100,,E. Pineda,
PLSC 28620,The Intelligible Self,100,,E. Oliver,
PLSC 28701,Introduction to Political Theory,100,,J. Wilson,
PLSC 28710,Democracy and the Politics of Wealth Redistribution,100,LLSO 28710,M. Albertus,
PLSC 28800,Introduction to Constitutional Law,100,"LLSO 23900,PLSC 48800",G. Rosenberg,
PLSC 28801,Introduction to American Politics,100,,R. Bloch Rubin,
PLSC 28900,Strategy,100,PLSC 39900,R. Pape,
PLSC 28901,Introduction to Comparative Politics,100,,M. Nalepa,
PLSC 29000,Introduction to International Relations,100,PLSC 39800,C. Lipson,
PLSC 29120,"Big Wars: Ancient, Medieval, and Early Modern",100,PLSC 39120,C. Lipson,
PLSC 29200,Civil Rights/Civil Liberties,100,LLSO 24000,G. Rosenberg,
PLSC 29202,The Secret Side of International Politics,100,,A. Carson,
PLSC 29411,Consequentialism from Bentham to Singer,100,"MAPH 39411,PHIL 29411",B. Schultz,Course is open to undergraduates and MAPH students.
PLSC 29700,Independent Study,100,,,Students are required to submit the College Reading and Research Course Form.
PLSC 29800,BA Colloquium,100,,,Required of students who are majoring in political science and plan to write a BA thesis. Students participate in both Spring and Autumn Quarters but register only in the Spring Quarter of the third year. PLSC 29800 counts as a single course and a single grade is reported in Autumn Quarter.
PLSC 29900,BA Thesis Supervision,100,,,Required of fourth-year students who are majoring in political science and plan to write a BA thesis. Students are required to submit the College Reading and Research Course Form.
BANG 10100,First-Year Bangla (Bengali) I,100,,Staff,
BANG 10200,First-Year Bangla (Bengali) II,100,,Staff,
BANG 10300,First-Year Bangla (Bengali) III,100,,Staff,
BANG 20100,Second-Year Bangla (Bengali) I,100,,Staff,
BANG 20200,Second-Year Bangla (Bengali) II,100,,Staff,
BANG 20300,Second-Year Bangla (Bengali) III,100,,Staff,
HIND 10100,First-Year Hindi I,100,,J. Grunebaum,
HIND 10200,First-Year Hindi II,100,,J. Grunebaum,
HIND 10300,First-Year Hindi III,100,,J. Grunebaum,
HIND 20100,Second-Year Hindi I,100,,J. Grunebaum,
HIND 20200,Second-Year Hindi II,100,,Staff,
HIND 20300,Second-Year Hindi III,100,,J. Grunebaum,
MARA 10100,First-Year Marathi I,100,,P. Engblom,
MARA 10200,First-Year Marathi II,100,,P. Engblom,
MARA 10300,First-Year Marathi III,100,,P. Engblom,
MARA 20100,Second-Year Marathi I,100,,P. Engblom,
MARA 20200,Second-Year Marathi II,100,,P. Engblom,
MARA 20300,Second-Year Marathi III,100,,P. Engblom,
PALI 10100,First-Year Pali I,100,,S. Collins,
PALI 10200,First-Year Pali II,100,,S. Collins,
PALI 10300,First-Year Pali III,100,,S. Collins,
PALI 20100,Second-Year Pali I,100,,S. Collins,
PALI 20200,Second-Year Pali II,100,,S. Collins,
PALI 20300,Second-Year Pali III,100,,S. Collins,
SALC 20100,Introduction to the Civilizations of South Asia I,100,"ANTH 24101,HIST 10800,SASC 20000,SOSC 23000",M. Alam,
SALC 20200,Introduction to the Civilizations of South Asia II,100,"ANTH 24102,HIST 10900,SASC 20100,SOSC 23100",D. Chakrabarty,
SALC 20400,The Mahabharata in English Translation,100,"FNDL 24400,HREL 35000,SALC 48200,RLST 26800",W. Doniger,
SALC 20702,Colonizations III,100,"CRES 24003,ANTH 24003,HIST 18303,SOSC 24003",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
SALC 20900,Cultural Politics of Contemporary India,100,"ANTH 42600,SALC 30900,ANTH 25500",W. Mazzarella,
SALC 20901,Indian Philosophy I: Origins and Orientations,100,"HREL 30200,SALC 30901,DVPR 30201,RLST 24201",Matthew Kapstein,
SALC 20902,Indian Philosophy II: The Classical Traditions,100,"HREL 30300,SALC 30902,DVPR 30302,RLST 24202",Dan Arnold,
SALC 22603,"Intro to Premodern South Asian Lit:  Courts, Poets, Power",100,,T. D'Hubert,
SALC 23700,How to do things with South Asian texts? Literary Theories,100,SALC 33700,Sascha Ebeling,
SALC 23903,Buddhist Thought in India and Tibet,100,RLST 23900,D. Arnold,
SALC 25306,Sex and Censorship in South Asia,100,"HIST 26710,GNSE 25306-01,HREL 35306",Ahona Panda,"This course should be of interest to students of gender and sexuality studies, cinema and media studies, literature, history, politics, human rights, anthropology and modern South Asian history and culture. It should also appeal to those interested in the past and present of law, censorship and democracy in the Non-West. Students at all stages of undergraduate study are encouraged to take this introductory course."
SALC 27701,Mughal India: Tradition and Transition,100,"HIST 26602,HIST 36602,SALC 37701",M. Alam,
SALC 28001,Colonialism and Female Iconography: Bengal and Britain,100,"HIST 26904,GLST 28001",Sukla Chatterjee,
SALC 29700,Introduction to Buddhism,100,"RLST 26150,CHDV 29701",S. Collins,
SALC 29800,BA Paper,100,,,
SALC 29801,BA Paper,100,,,
SALC 29802,BA Paper,100,,,
SALC 29900,Informal Reading Course,100,,,Students are required to submit the College Reading and Research Course Form.
SALC 29901,Informal Reading Course,100,,,Students are required to submit the College Reading and Research Course Form.
SALC 29902,Informal Reading Course,100,,,Students are required to submit the College Reading and Research Course Form.
SANS 10100,First-Year Sanskrit I,100,,Staff,
SANS 10200,First-Year Sanskrit II,100,,Staff,
SANS 10300,First-Year Sanskrit III,100,,Staff,
SANS 20100,Second-Year Sanskrit I,100,,Staff,
SANS 20200,Second-Year Sanskrit II,100,"HREL 36000,SALC 48400",W. Doniger,
SANS 20300,Second-Year Sanskrit III,100,,Staff,
TAML 10100,First-Year Tamil I,100,,E. Annamalai,
TAML 10200,First-Year Tamil II,100,,E. Annamalai,
TAML 10300,First-Year Tamil III,100,,E. Annamalai,
TAML 20100,Second-Year Tamil I,100,,E. Annamalai,
TAML 20200,Second-Year Tamil II,100,,E. Annamalai,
TAML 20300,Second-Year Tamil III,100,,E. Annamalai,
TBTN 10100,First-Year Tibetan I,100,,K. Ngodup,
TBTN 10200,First-Year Tibetan II,100,,K. Ngodup,
TBTN 10300,First-Year Tibetan III,100,,K. Ngodup,
TBTN 20100,Second-Year Tibetan I,100,,K. Ngodup,
TBTN 20200,Second-Year Tibetan II,100,,K. Ngodup,
TBTN 20300,Second-Year Tibetan III,100,,D. Tomlinson,
URDU 10100,First-Year Urdu I,100,,E. Bashir,
URDU 10200,First-Year Urdu II,100,,E. Bashir,
URDU 10300,First-Year Urdu III,100,,E. Bashir,
URDU 20100,Second-Year Urdu I,100,,E. Bashir,
URDU 20200,Second-Year Urdu II,100,,E. Bashir,
URDU 20300,Second-Year Urdu III,100,,E. Bashir,
SOCI 20001,Sociological Methods,100,,C.S. Lee,
SOCI 20002,Social Structure and Change,100,,M. Garrido,
SOCI 20004,Statistical Methods of Research,100,SOCI 30004,S. Raudenbush,Students are expected to attend two lectures and one lab per week. UG Sociology majors and Sociology PhD students only. Others by consent of instructor
SOCI 20005,Sociological Theory,100,,A. Abbott,Required of students who are majoring in Sociology.
SOCI 20101,Organizational Analysis,100,"PBPL 23000,SOCI 30101",E. Laumann,
SOCI 20102,Social Change,100,SOCI 30102,"D. Zhao, C. Lee",
SOCI 20103,Social Stratification,100,SOCI 30103,R. Stolzenberg,
SOCI 20104,Urban Structure and Process,100,"CRES 20104,GEOG 22700,GEOG 32700,SOCI 30104,SOSC 25100",F. Stuart,
SOCI 20105,Bidwell's Educational Organization and Social Inequality,100,"SOCI 30105,PPHA 39300",S. Stoelinga,
SOCI 20106,Political Sociology,100,"ENST 23500,PBPL 23600,SOCI 30106",E. Clemens,
SOCI 20107,Sociology of Human Sexuality,100,"GNSE 27100,SOCI 30107",E. Laumann,
SOCI 20112,Applications of Hierarchical Linear Models,100,SOCI 30112,S. Raudenbush,
SOCI 20116,Global-Local Politics,100,"HMRT 20116,HMRT 30116,PBPL 27900,SOCI 30116,LLSO 20116",T. Clark,
SOCI 20120,Urban Policy Analysis,100,"PBPL 24800,SOCI 30120",T. Clark,
SOCI 20122,Introduction to Population,100,"SOCI 30122,ENST 20500,GNDR 20120,GNDR 30120",K. Cagney,
SOCI 20140,Qualitative Field Methods,100,"CRES 20140,CHDV 20140",O. McRoberts,"CHDV Distribution, M*"
SOCI 20157,Mathematical Models,100,SOCI 30157,K. Yamaguchi,
SOCI 20179,Labor Force and Employment,100,SOCI 30179,R. Stolzenberg,
SOCI 20184,"Political Culture, Social Capital, and the Arts",100,SOCI 30184,T. Clark,
SOCI 20191,Social Change in the United States,100,SOCI 30191,R. Stolzenberg,
SOCI 20192,The Effects of Schooling,100,SOCI 30192,R. Stolzenberg,
SOCI 20222,Philanthropy:  Private Acts and Public Goods,100,PBPL 27070,E. Clemens,
SOCI 20226,Urban Schools and Communities,100,"CHDV 27821,PBPL 27821",S. Stoelinga,"CHDV Distribution, C"
SOCI 20232,Sociology of Religion,100,"SOCI 30232,AASR 30232",Y. Sun,
SOCI 20233,Race in Contemporary American Society,100,SOCI 30233,S. Hicks-Bartlett,
SOCI 20239,Urban School Reform: History and Policy,100,PBPL 27823,S. Stoelinga,
SOCI 20245,Global Health and Inequality,100,SOCI 30245,J. Trinitapoli,
SOCI 20248,"Inequality, Health, and The Life Course",100,"CHDV 30440,SOCI 30248,CHDV 20440",A. Mueller,"CHDV Distribution: B*, C*; 2*, 4*"
SOCI 20252,Urban Innovation: Cultural Place Making and Scenescapes,100,SOCI 30252,T. Clark,
SOCI 20253,Introduction to Spatial Data Science,100,"SOCI 30253,GEOG 20500,MACS 54000",L. Anselin,
SOCI 20255,"Crime, Justice, and Inequality in the American City",100,PBPL 25860,"Broughton, C.",
SOCI 20257,The Third World City,100,SOCI 30257,M. Garrido,
SOCI 20258,Maverick Markets: Cultural Economy and Cultural Finance,100,"ANTH 25440,ANTH 35405,SOCI 30258",K. Knorr Cetina,
SOCI 28070,Gender and Development,100,"CHDV 14510,PBPL 24510,GNSE 14510,ECON 14510",A. Gonzalez,
SOCI 28071,Sociology of Law,100,,R. Owens,
SOCI 28072,Urban Space and Place,100,,J. Feldman,
SOCI 28073,Sociology of the Arts,100,,W. Johnson,
SOCI 28074,Sociology of Social Media,100,,N. Taplin,
SOCI 29997,Readings in Sociology,100,,,
SOCI 29998,Sociology BA Thesis Seminar,100,,,Must be taken for a quality grade.
ECON 14510,Gender and Development,100,"CHDV 14510,SOCI 28070,PBPL 24510,GNSE 14510",A. Gonzalez,
ECON 14810,Evolution and Economics of Human Behavior,100,"CHDV 37950,PSYC 27950,PSYC 37950,BIOS 29265,CHDV 27950",D. Maestripieri,"CHDV Distribution, A*; 1*"
ECON 19000,Economics for Everyone,100,,J. List and S. Levitt,
ECON 19800,Introduction to Microeconomics,100,,"A. Sanderson, J. List",
ECON 19900,Introduction to Macroeconomics,100,,A. Sanderson,
ECON 20000,The Elements of Economic Analysis I,100,,,
ECON 20010,The Elements of Economic Analysis: Honors I,100,,Staff,
ECON 20100,The Elements of Economic Analysis II,100,,,
